,DOI,abbrev,auths,titl,yr
11570,10.1016/j.antiviral.2015.10.002_bib10,FAO &  OIE (2004),"FAO, OIE","{'key': '10.1016/j.antiviral.2015.10.002_bib10', 'author': 'FAO, OIE', 'year': '2004', 'series-title': 'The Global Framework for the Progressive Control of Transboundary Animal Diseases'}",2004
11571,10.1016/j.antiviral.2015.10.002_bib11,FAO &  GARC (2012),"FAO, GARC","{'key': '10.1016/j.antiviral.2015.10.002_bib11', 'author': 'FAO, GARC', 'year': '2012', 'series-title': 'Developing a Stepwise Approach for Rabies Prevention and Control. Rome'}",2012
11572,10.1016/j.antiviral.2015.10.002_bib12,Fevre (2005),Fevre,The epidemiology of animal bite injuries in Uganda and projections of the burden of rabies,2005
11573,10.1016/j.antiviral.2015.10.002_bib13,Fooks (2014),Fooks,Current status of rabies and prospects for elimination,2014
11574,10.1016/j.antiviral.2015.10.002_bib14,Global Alliance for Rabies Control (2014),Global Alliance for Rabies Control,"{'key': '10.1016/j.antiviral.2015.10.002_bib14', 'author': 'Global Alliance for Rabies Control', 'year': '2014', 'series-title': 'Canine Rabies Blueprint [WWW Document]'}",2014
11575,10.1016/j.antiviral.2015.10.002_bib15,Global Alliance for Rabies Control (2015),Global Alliance for Rabies Control,"{'key': '10.1016/j.antiviral.2015.10.002_bib15', 'author': 'Global Alliance for Rabies Control', 'year': '2015', 'series-title': 'Global Alliance for Rabies Control [WWW Document]'}",2015
11576,10.1016/j.antiviral.2015.10.002_bib16,Hampson (2015),Hampson,Estimating the global burden of endemic canine rabies,2015
11577,10.1016/j.antiviral.2015.10.002_bib17,International Coordinating Group (ICG) (2014),International Coordinating Group (ICG),"{'key': '10.1016/j.antiviral.2015.10.002_bib17', 'author': 'International Coordinating Group (ICG)', 'year': '2014', 'series-title': 'Report of the Sixth Meeting of the International Coordinating Group of the World Health Organization and the Bill & Melinda Gates Foundation Project on Eliminating Human and Dog Rabies. Durban'}",2014
11578,10.1016/j.antiviral.2015.10.002_bib18,Kaare (2009),Kaare,Rabies control in rural Africa: evaluating strategies for effective domestic dog vaccination,2009
11579,10.1016/j.antiviral.2015.10.002_bib19,Knobel (2005),Knobel,Re-evaluating the burden of rabies in Africa and Asia,2005
11580,10.1016/j.antiviral.2015.10.002_bib20,Lembo (2006),Lembo,"Evaluation of a direct, rapid immunohistochemical test for rabies diagnosis",2006
11581,10.1016/j.antiviral.2015.10.002_bib21,Lembo (2010),Lembo,The feasibility of canine rabies elimination in Africa: dispelling doubts with data,2010
11582,10.1016/j.antiviral.2015.10.002_bib22,Madhusudana (2012),Madhusudana,Evaluation of a direct rapid immunohistochemical test (dRIT) for rapid diagnosis of rabies in animals and humans,2012
11583,10.1016/j.antiviral.2015.10.002_bib23,McElhinney (2008),McElhinney,Diagnostic tools for the detection of rabies virus,2008
11584,10.1016/j.antiviral.2015.10.002_bib24,Meslin (2013),Meslin,"Eliminating canine rabies, the principal source of human infection: what will it take?",2013
11585,10.1016/j.antiviral.2015.10.002_bib25,Nel (2013),Nel,"Discrepancies in data reporting for rabies, Africa",2013
11586,10.1016/j.antiviral.2015.10.002_bib26,NithinPrabhu (2014),NithinPrabhu,Application of n-protein monoclonal antibody based direct fluorescent antibody assay ( DFA ) and direct rapid immunohistochemistry test ( dRIT ) for detection of rabies virus in brain samples of animals in India sample collection,2014
11587,10.1016/j.antiviral.2015.10.002_bib27,OIE (2014),OIE,"{'key': '10.1016/j.antiviral.2015.10.002_bib27', 'author': 'OIE', 'year': '2014', 'series-title': 'WAHID Interface – OIE World Animal Health Information Database [WWW Document]'}",2014
11588,10.1016/j.antiviral.2015.10.002_bib28,Sambo (2013),Sambo,The Burden of rabies in Tanzania and its impact on local communities,2013
11589,10.1016/j.antiviral.2015.10.002_bib29,Saturday (2009),Saturday,Validation and operational application of a rapid method for rabies antigen detection. US,2009
11590,10.1016/j.antiviral.2015.10.002_bib30,United Nations Department of Economic and Social Affairs (2014),United Nations Department of Economic and Social Affairs,"{'key': '10.1016/j.antiviral.2015.10.002_bib30', 'author': 'United Nations Department of Economic and Social Affairs', 'year': '2014', 'series-title': 'Report of the Open Working Group of the General Assembly on Sustainable Development Goals'}",2014
11591,10.1016/j.antiviral.2015.10.002_bib31,Vigilato (2013),Vigilato,Progress towards eliminating canine rabies: policies and perspectives from Latin America and the Caribbean,2013
11592,10.1016/j.antiviral.2015.10.002_bib32,Wacharapluesadee (2010),Wacharapluesadee,Ante- and post-mortem diagnosis of rabies using nucleic acid-amplification tests,2010
11593,10.1016/j.antiviral.2015.10.002_bib33,Weyer (2007),Weyer,Rabies: challenge of diagnosis in resource poor countries,2007
11594,10.1016/j.jss.2015.04.073,Byrn et al (2015),"Byrn J.C., Brooks M.K., Belding-Schmitt M., Furgason J.C., Liao J.",Impact of urinary tract infection definitions on colorectal outcomes,2015
11595,10.1016/j.jss.2015.04.073_bib1,Platt (1982),Platt,Mortality associated with nosocomial urinary-tract infection,1982
11596,10.1016/j.jss.2015.04.073_bib2,Wald (2007),Wald,Nonpayment for harms resulting from medical care: catheter-associated urinary tract infections,2007
11597,10.1016/j.jss.2015.04.073_bib3,Saint (2000),Saint,Clinical and economic consequences of nosocomial catheter-related bacteriuria,2000
11598,10.1016/j.jss.2015.04.073_bib4,Wald (2008),Wald,Indwelling urinary catheter use in the postoperative period: analysis of the national surgical infection prevention project data,2008
11599,10.1016/j.jss.2015.04.073_bib5,Attaluri (2011),Attaluri,Risk factors for urinary tract infections in colorectal compared with vascular surgery: a need to review current present-on-admission policy,2011
11600,10.1016/j.jss.2015.04.073_bib6,Regenbogen (2011),Regenbogen,Urinary tract infection after colon and rectal resections: more common than predicted by risk-adjustment models,2011
11601,10.1016/j.jss.2015.04.073_bib7,Nagle (2014),Nagle,Reducing urinary tract infections in colon and rectal surgery,2014
11602,10.1016/j.jss.2015.04.073_bib8,Longo (2000),Longo,Risk factors for morbidity and mortality after colectomy for colon cancer,2000
11603,10.1016/j.jss.2015.04.073_bib9,Ricciardi (2013),Ricciardi,Which adverse events are associated with mortality and prolonged length of stay following colorectal surgery,2013
11604,10.1016/j.jss.2015.04.073_bib10,unparseable (1900),unparseable,unparseable,1900
11605,10.1016/j.jss.2015.04.073_bib11,unparseable (1900),unparseable,unparseable,1900
11606,10.1016/j.jss.2015.04.073_bib12,Ricciardi (2009),Ricciardi,Surgeon involvement in the care of patients deemed to have “preventable” conditions,2009
11607,10.1016/j.jss.2015.04.073_bib13,Fry (2010),Fry,Patient characteristics and the occurrence of never events,2010
11608,10.1016/j.jss.2015.04.073_bib14,Schilling (2008),Schilling,Prioritizing quality improvement in general surgery,2008
11609,10.1016/j.jss.2015.04.073_bib15,Ingraham (2010),Ingraham,Comparison of hospital performance in nonemergency and emergency colorectal operations at 142 hospitals,2010
11610,10.1016/j.jss.2015.04.073_bib16,Dimick (2004),Dimick,Hospital costs associated with surgical complications: a report from the private-sector national surgical quality improvement program,2004
11611,10.1016/j.jss.2015.04.073_bib17,Kelly (2012),Kelly,Factors predicting hospital length-of-stay and readmission after colorectal resection: a population-based study of elective and emergency admissions,2012
11612,10.1016/j.jss.2015.04.073_bib18,Zhuang (2013),Zhuang,Enhanced recovery after surgery programs versus traditional care for colorectal surgery: a meta-analysis of randomized controlled trials,2013
11613,10.1016/j.jss.2015.04.073_bib19,Lee (2011),Lee,A laparoscopic approach reduces short-term complications and length of stay following ileocolic resection in Crohn’s disease: an analysis of outcomes from the NSQIP database,2011
11614,10.1016/j.jss.2015.04.073_bib20,Faiz (2011),Faiz,Hospital stay amongst patients undergoing major elective colorectal surgery: predicting prolonged stay and readmissions in NHS hospitals,2011
11615,10.1016/j.jss.2015.04.073_bib21,Van Arendonk (2013),Van Arendonk,Outcomes and costs of elective surgery for diverticular disease: a comparison with other disease requiring colectomy,2013
11616,10.1016/j.jss.2015.04.073_bib22,Wick (2011),Wick,Surgical site infections and cost in obese patients undergoing colorectal surgery,2011
11617,10.1089/sur.2015.074,Richtmann R et al (2016),"Richtmann R., Onzi Siliprandi E.M., Rosenthal V.D., Sánchez T.E.G., Moreira M., Rodrigues T., Baltieri S.R., Camolesi F., De Almeida Silva C., Pires Dos Santos R., Valente R., Apolinário D., Fagundes Stadtlober G., Giunta Cavaglieri A.",Surgical Site Infection Rates in Four Cities in Brazil: Findings of the International Nosocomial Infection Control Consortium,2016
11618,10.1136/bmjopen-2015-009255,Akil L & Ahmad (2016),"Akil L., Ahmad H.A.",Salmonella infections modelling in Mississippi using neural network and geographical information system (GIS),2016
11619,key-10.1136/bmjopen-2015-009255-1,Scallan (2011),Scallan,Foodborne illness acquired in the United States—major pathogens,2011
11620,key-10.1136/bmjopen-2015-009255-2,Pennington (2010),Pennington,Escherichia coli O157,2010
11621,key-10.1136/bmjopen-2015-009255-3,Mohawk (2011),Mohawk,Mouse models of Escherichia coli O157:H7 infection and Shiga toxin injection,2011
11622,key-10.1136/bmjopen-2015-009255-4,Scheutz (2011),Scheutz,"Characteristics of the enteroaggregative Shiga toxin/ verotoxin-producing Escherichia coli O104:H4 strain causing the outbreak of haemolytic uraemic syndrome in Germany, May to June 2011",2011
11623,key-10.1136/bmjopen-2015-009255-5,Hoelzer (2011),Hoelzer,Animal contact as a source of human non-typhoidal salmonellosis,2011
11624,key-10.1136/bmjopen-2015-009255-6,Callaway (2008),Callaway,Gastrointestinal microbial ecology and the safety of our food supply as related to Salmonella,2008
11625,key-10.1136/bmjopen-2015-009255-7,Akil (2014),Akil,Effects of climate change on Salmonella infections,2014
11626,key-10.1136/bmjopen-2015-009255-8,McPherson (1998),McPherson,A new definition of children with special health care needs,1998
11627,key-10.1136/bmjopen-2015-009255-9,Pearl (2001),Pearl,The relationship of neighborhood socioeconomic characteristics to birthweight among 5 ethnic groups in California,2001
11628,key-10.1136/bmjopen-2015-009255-10,Sarno (2013),Sarno,Use of GIS technology to analyse the health effect of exposure to heavy traffic pollution in an Italian general population sample,2013
11629,key-10.1136/bmjopen-2015-009255-11,Svendsen (2012),Svendsen,"GIS-modeled indicators of traffic-related air pollutants and adverse pulmonary health among children in El Paso, Texas",2012
11630,key-10.1136/bmjopen-2015-009255-12,Needle (2003),Needle,Rapid assessment of the HIV/AIDS crisis in racial and ethnic and ethnic minority communities: an approach for timely community interventions,2003
11631,key-10.1136/bmjopen-2015-009255-13,Lin (2011),Lin,Resilience in agriculture through crop diversification: adaptive management for environmental change,2011
11632,key-10.1136/bmjopen-2015-009255-14,Park (2001),Park,A sequential neural network model for diabetes prediction,2001
11633,key-10.1136/bmjopen-2015-009255-15,unparseable (1900),unparseable,unparseable,1900
11634,key-10.1136/bmjopen-2015-009255-16,unparseable (1900),unparseable,unparseable,1900
11635,key-10.1136/bmjopen-2015-009255-17,unparseable (1900),unparseable,unparseable,1900
11636,key-10.1136/bmjopen-2015-009255-18,unparseable (1900),unparseable,unparseable,1900
11637,key-10.1136/bmjopen-2015-009255-19,unparseable (1900),unparseable,unparseable,1900
11638,key-10.1136/bmjopen-2015-009255-20,unparseable (1900),unparseable,unparseable,1900
11639,key-10.1136/bmjopen-2015-009255-21,unparseable (1900),unparseable,unparseable,1900
11640,key-10.1136/bmjopen-2015-009255-22,Chai (2012),Chai,Salmonella enterica Serotype Enteritidis: increasing incidence of domestically acquired infections,2012
11641,key-10.1136/bmjopen-2015-009255-23,Darcey (2011),Darcey,"{'key': 'key-10.1136/bmjopen-2015-009255-23', 'author': 'Darcey', 'year': '2011', 'volume-title': 'GIS mapping of retail food access to assess risks of (chronic and acute) illness in populations of different socioeconomic status'}",2011
11642,key-10.1136/bmjopen-2015-009255-24,Chang (2009),Chang,"An ecological analysis of sociodemographic factors associated with the incidence of salmonellosis, shigellosis, and E. coli O157:H7 infections in US counties",2009
11643,key-10.1136/bmjopen-2015-009255-25,Younus (2007),Younus,The role of neighborhood level socioeconomic characteristics in Salmonella infections in Michigan (1997–2007): assessment using geographic information system,2007
11644,key-10.1136/bmjopen-2015-009255-26,Sovan (1999),Sovan,"Artificial neural network as a tool in ecological modelling, an introduction",1999
11645,key-10.1136/bmjopen-2015-009255-27,Akil (2011),Akil,Relationships between obesity and cardiovascular diseases in four southern states and Colorado,2011
11646,key-10.1136/bmjopen-2015-009255-28,Nielsen (2003),Nielsen,Reliable prediction of T-cell epitopes using neural network with novel sequence representations,2003
11647,key-10.1136/bmjopen-2015-009255-29,Khan (2001),Khan,Classification and diagnostic prediction of cancers using gene expression profiling and artificial neural networks,2001
11648,key-10.1136/bmjopen-2015-009255-30,Smith (2009),Smith,Artificial neural networks for automated year-round temperature prediction,2009
11649,key-10.1136/bmjopen-2015-009255-31,Ahmad (2009),Ahmad,Poultry growth modeling using neural networks and simulated data,2009
11650,key-10.1136/bmjopen-2015-009255-32,Ahmad (2006),Ahmad,Comparison of forecasting methodologies using egg price as a test Case,2006
11651,key-10.1136/bmjopen-2015-009255-33,unknown65132 (1900),unknown65132,{'key': 'key-10.1136/bmjopen-2015-009255-33'},1900
11652,10.4102/ajlm.v5i2.560,Boeras et al (2016),"Boeras D.I., Peeling R.W., Onyebujoh P., Yahaya A.A., Gumede-Moeletsi H.N., Ndihokubwayo J.B.",The WHO AFRO external quality assessment programme (EQAP): Linking laboratory networks through EQA programmes,2016
11653,ref0001,World Health Organization (1900),World Health Organization,"{'key': 'ref0001', 'author': 'World Health Organization', 'journal-title': 'WHO manual for organizing a national external quality assessment programme for health laboratories and other testing sites [document on the Internet]'}",1900
11654,ref0002,World Health Organization (2007),World Health Organization,"{'key': 'ref0002', 'author': 'World Health Organization', 'year': '2007', 'journal-title': 'WHO/NICD Microbiology External Quality Assessment Programme in Africa Years 1 to 4 2002-2006'}",2007
11655,ref0003,Association of Public Health Laboratories (1900),Association of Public Health Laboratories,"{'key': 'ref0003', 'author': 'Association of Public Health Laboratories', 'journal-title': 'External quality assessment for AFB smear microscopy [document on the Internet]'}",1900
11656,ref0004,Clinical and Laboratory Standards Institute (CLSI) (2009),Clinical and Laboratory Standards Institute (CLSI),"{'key': 'ref0004', 'author': 'Clinical and Laboratory Standards Institute (CLSI)', 'year': '2009', 'journal-title': 'Performance standards for antimicrobial susceptibility testing. 19th Informational Supplement M100-S19'}",2009
